Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.054791531612711615,0.06284918247526672,0.054791531612711615,0.06016288697719574,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.06016285499898442,0.06338628432016251,0.06016285499898442,0.06231139600276947,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06231138818184646,0.063923411547855,0.06231138818184646,0.06338627636432648,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06338628487832992,0.06392342013400609,0.06123712604011927,0.06177426129579544,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.061774258621401006,0.06231139385382297,0.06016285292413512,0.06069998815655708,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.06070000508342038,0.06070000508342038,0.05855146355458812,0.05908859893679619,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.0590885780409043,0.060162848425418955,0.05640290207961765,0.05747717246413231,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05747717779471855,0.05747717779471855,0.055328636826427836,0.05586577206850052,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.05586576736348793,0.05694003775715828,0.05532863216665275,0.05694003775715828,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05694004357355126,0.059088584580364194,0.05640290832184802,0.058551449328660965,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.0585514775242082,0.05962574854493141,0.0585514775242082,0.05962574854493141,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05962573431900425,0.05962573431900425,0.05801432817238006,0.05908859893679619,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.059088584580364194,0.059088584580364194,0.05855144932866096,0.058551449328660965,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05855146355458812,0.06016286970121232,0.05855146355458812,0.05908859893679619,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05962574854493141,0.06123715507601622,0.05962574854493141,0.05962574854493141,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05962574854493141,0.06016288405529301,0.05962574854493141,0.05962574854493141,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.05962571983206743,0.060162855083770665,0.057477178825254494,0.058551449328660965,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05855146355458812,0.06016286970121232,0.05855146355458812,0.05908859893679619,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05908861590429892,0.060700022513644154,0.05908861590429892,0.06016288697719574,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.06016285292413512,0.06123712338897905,0.059088582459291196,0.06069998815655708,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06123712604011927,0.06284914962265375,0.06123712604011927,0.06177426129579544,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.061774260751823205,0.06284914906921625,0.061774260751823205,0.06231139600276947,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06231139600276946,0.06231139600276946,0.06016285499898442,0.06231139600276947,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06231140166486109,0.06499769597919022,0.061774266365106606,0.06446056067943573,31910400,0.0,0.0
